TICKER,NAME,DESIGNATION,SECTEUR,HREF_BOURSORAMA,HREF_RENDEMENTBOURSE,PEA,PEA-PME,ISIN,DIVIDENDE
CARM,CARMILA,Carmila S.A.,Immobilier,/cours/1rPCARM/,/carm-carmila,True,,FR0010828137,True
CA,CARREFOUR,Carrefour SA,Consommation de base,/cours/1rPCA/,/ca-carrefour,True,,FR0000120172,True
CATG,CATANA GROUP,SA Catana Group,Consommation discrétionnaire,/cours/1rPCATG/,/catg-catana-group,True,,FR0010193052,True
CBOT,CBO TERRITORIA,CBo Territoria SA,Immobilier,/cours/1rEPCBOT/,/cbot-cbo-territoria-sa,True,True,FR0010193979,True
CRI,CHARGEURS,Chargeurs SA,Consommation discrétionnaire,/cours/1rPCRI/,/cri-chargeurs-sa,True,True,FR0000130692,True
CDI,CHRISTIAN DIOR,Christian Dior SE,Consommation discrétionnaire,/cours/1rPCDI/,/cdi-christian-dior,True,,FR0000130403,True
ALCLA,CLASQUIN,Clasquin SA,Industrie,/cours/1rEPALCLA/,/alcla-clasquin,True,True,FR0004152882,True
COFA,COFACE,COFACE SA,Finance,/cours/1rPCOFA/,/cofa-coface,True,,FR0010667147,True
ALCOF,COFIDUR S.A.,Cofidur S.A.,Technologies,/cours/1rPALCOF/,/alcof-cofidur,True,True,FR0013257409,True
COUR,COURTOIS,Courtois S.A.,Immobilier,/cours/1rPCOUR/,/cour-courtois,True,True,FR0000065393,True
CRAP,CRCAM ALP.PROV.CCI,Caisse Régionale de Crédit Agricole Mutuel Alpes Provence Société coopérative,Finance,/cours/1rPCRAP/,/crap-crcam-alp-prov-cci,True,,FR0000044323,True
CRAV,CRCAM ATL.VEND.CCI,Caisse régionale de Crédit Agricole Mutuel Atlantique Vendée,Finance,/cours/1rPCRAV/,/crav-crcam-atl-vend-cci,True,,FR0000185506,True
CRBP2,CRCAM BRIE PIC2CCI,Caisse Régionale de Crédit Agricole Mutuel Brie Picardie Société coopérative,Finance,/cours/1rPCRBP2/,/crbp2-caisse-regionale-de-credit-agricole-mutuel-brie-picardie-cert-coop-d-invest,True,,FR0010483768,True
CIV,CRCAM ILLE-VIL.CCI,Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine Société coopérative,Finance,/cours/1rPCIV/,/civ-crcam-ille-vil-cci,True,,FR0000045213,True
CRLA,CRCAM LANGUED CCI,Caisse Régionale de Crédit Agricole Mutuel du Languedoc Société coopérative,Finance,/cours/1rPCRLA/,/crla-crcam-langued-cci,True,,FR0010461053,True
CMO,CRCAM MORBIHAN CCI,Caisse Régionale de Crédit Agricole du Morbihan,Finance,/cours/1rPCMO/,/cmo-crcam-morbihan-cci,True,,FR0000045551,True
CCN,CRCAM NORM.SEINE,Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine Société coopérative,Finance,/cours/1rPCCN/,/ccn-crcam-norm-seine,True,,FR0000044364,True
ACA,CREDIT AGRICOLE,Crédit Agricole S.A.,Finance,/cours/1rPACA/,/aca-credit-agricole,True,,FR0000045072,True
CROS,CROSSWOOD,Crosswood SA,Immobilier,/cours/1rPCROS/,/cros-crosswood,True,True,FR0000050395,True
ALDLS,D.L.S.I.,DLSI,Industrie,/cours/1rEPALDLS/,/aldls-d-l-s-i,True,True,FR0010404368,True
BN,DANONE,Danone S.A.,Consommation de base,/cours/1rPBN/,/bn-danone,True,,FR0000120644,True
AM,DASSAULT AVIATION,Dassault Aviation société anonyme,Industrie,,/am-dassault-aviation-sa,True,,FR0000121725,True
DKUPL,DEKUPLE,ADLPartner SA,Communication,/cours/1rPDKUPL/,/alp-adl-partner,True,True,FR0000062978,True
ALDEL,DELFINGEN INDUSTRY,Delfingen Industry S.A.,Consommation discrétionnaire,/cours/1rPALDEL/,/aldel-delfingen,True,True,FR0000054132,True
DBG,DERICHEBOURG,Derichebourg SA,Industrie,/cours/1rPDBG/,/dbg-derichebourg-sa,True,,FR0000053381,True
DPAM,DOCK.PETR.AMBES AM,Les Docks des Pétroles d'Ambès -SA,Energie,/cours/1rPDPAM/,/dpam-dock-petr-ambes-am,True,,FR0000065260,True
EDEN,EDENRED,Edenred SE,Finance,/cours/1rPEDEN/,/eden-edenred,True,,FR0010908533,True
FGR,EIFFAGE,Eiffage SA,Industrie,/cours/1rPFGR/,/fgr-eiffage,True,,FR0000130452,True
ELEC,ELEC.STRASBOURG,Électricite de Strasbourg Société Anonyme,Services aux collectivités,/cours/1rPELEC/,/elec-elec-strasbourg,True,,FR0000031023,True
ELIS,ELIS,Elis SA,Industrie,/cours/1rPELIS/,/elis-elis,True,,FR0012435121,True
ENGI,ENGIE,Engie SA,Services aux collectivités,/cours/1rPENGI/,/engi-engie,True,,FR0010208488,True
ERA,ERAMET,ERAMET S.A.,Matériaux,/cours/1rPERA/,/era-eramet,True,,FR0000131757,True
ALESK,ESKER,Esker SA,Technologies,/cours/1rPALESK/,/alesk-esker,True,True,FR0000035818,True
EL,ESSILORLUXOTTICA,EssilorLuxottica Société anonyme,Santé,/cours/1rPEL/,/el-essilorluxottica-sa,True,,FR0000121667,True
ES,ESSO,Esso S.A.F.,Energie,/cours/1rPES/,/es-esso,True,,FR0000120669,True
RF,EURAZEO SE,Eurazeo SE,Finance,/cours/1rPRF/,/rf-eurazeo,True,,FR0000121121,True
EUR,EURO RESSOURCES,EURO Ressources S.A.,Matériaux,/cours/1rPEUR/,/eur-euro-ressources,True,,FR0000054678,True
ERF,EUROFINS SCIENT.,Eurofins Scientific SE,Santé,/cours/1rPERF/,/erf-eurofins-scient,True,,FR0014000MR3,True
ENX,EURONEXT,Euronext N.V.,Finance,/cours/1rPENX/,/enx-euronext,True,,NL0006294274,True
ETL,EUTELSAT COMMUNIC.,Eutelsat Group,Technologies,/cours/1rPETL/,/etl-eutelsat-communication,True,True,FR0010221234,True
EXE,EXEL INDUSTRIES,EXEL Industries SA,Industrie,/cours/1rPEXE/,/exe-exel-industries,True,True,FR0004527638,True
FDJ,FDJ,La Française des Jeux Société anonyme,Consommation discrétionnaire,/cours/1rPFDJ/,/fdj-francaise-des-jeux-fdj,True,,FR0013451333,True
FCMC,FERM.CASINO MUNICIPAL CANNES,Société Fermière du Casino Municipal de Cannes,Consommation discrétionnaire,/cours/1rPFCMC/,/fcmc-ferm-cas-mun-canne,True,,FR0000062101,True
SACI,FIDUCIAL OFF.SOL.,Fiducial Office Solutions,Industrie,/cours/1rPSACI/,/saci-fiducial-off-sol,True,,FR0000061418,True
ORIA,FIDUCIAL REAL EST.,Fiducial Real Estate SA,Immobilier,/cours/1rPORIA/,/oria-fiducial-real-est,True,,FR0000060535,True
BERR,FIN.IMMOB.ETANG BERRE MEDIT.,Financiere et Immobiliere de l'Etang de Berre et de la Mediterranee Société anonyme,Immobilier,/cours/1rPBERR/,/berr-fin-etang-berre,True,,FR0000062341,True
FNAC,FNAC DARTY,Fnac Darty SA,Consommation discrétionnaire,/cours/1rPFNAC/,/fnac-fnac-darty,True,,FR0011476928,True
ALFPC,FOUNTAINE PAJOT,S.A. Fountaine Pajot,Consommation discrétionnaire,/cours/1rPALFPC/,/alfpc-fountaine-pajot,True,True,FR0010485268,True
FREY,FREY,Frey SA,Immobilier,/cours/1rPFREY/,/frey-frey,True,,FR0010588079,True
GALIM,GALIMMO,Galimmo SCA,Immobilier,/cours/1rPGALIM/,/galim-galimmo,True,,FR0000030611,True
GTT,GAZTRANSPORT & TECHNIGAZ,Gaztransport & Technigaz SA,Energie,/cours/1rPGTT/,/gtt-gaztransport-technigaz,True,,FR0011726835,True
GEA,GEA GRENOBL.ELECT.,Grenobloise d'Electronique et d'Automatismes Société Anonyme,Industrie,/cours/1rPGEA/,/gea-gea-grenobl-elect,True,,FR0000053035,True
GET,GETLINK SE,Getlink SE,Industrie,/cours/1rPGET/,/get-getlink-se,True,True,FR0010533075,True
ALGEV,GEVELOT,Gévelot SA,Industrie,/cours/1rPALGEV/,/algev-gevelot,True,,FR0000033888,True
GLO,GL EVENTS,GL Events SA,Industrie,/cours/1rPGLO/,/glo-gl-events-sa,True,True,FR0000066672,True
ALGLD,GOLD BY GOLD,Gold By Gold SA,Matériaux,/cours/1rPALGLD/,/algld-gold-by-gold,True,,FR0011208693,True
GPE,GPE GROUP PIZZORNO,Groupe Pizzorno Environnement,Industrie,/cours/1rPGPE/,/gpe-gpe-group-pizzorno,True,,FR0010214064,True
CEN,GROUPE CRIT,Groupe CRIT SA,Industrie,/cours/1rPCEN/,/cen-groupe-crit,True,,FR0000036675,True
ALGIL,GROUPE GUILLIN,Groupe Guillin S.A.,Consommation discrétionnaire,/cours/1rPALGIL/,/algil-groupe-guillin,True,True,FR0012819381,True
PARP,GROUPE PARTOUCHE,Groupe Partouche SA,Consommation discrétionnaire,/cours/1rPPAR/,/parp-groupe-partouche,True,True,FR0010263202,True
SFPI,GROUPE SFPI,GROUPE SFPI SA,Industrie,/cours/1rPSFPI/,/sfpi-groupe-sfpi,True,True,FR0004155000,True
GBT,GUERBET,Guerbet SA,Santé,/cours/1rPGBT/,/gbt-guerbet,True,True,FR0000032526,True
GUI,GUILLEMOT,Guillemot Corporation S.A.,Technologies,/cours/1rPGUI/,/gui-guillemot,True,,FR0000066722,True
RMS,HERMES INTL,Hermès International Société en commandite par actions,Consommation discrétionnaire,/cours/1rPRMS/,/rms-hermes-international,True,,FR0000052292,True
HCO,HIGH CO,High Co. SA,Communication,/cours/1rPHCO/,/hco-highco-sa,True,True,FR0000054231,True
ALHIT,HITECHPROS,HITECHPROS Société anonyme,Technologies,/cours/1rPALHIT/,/alhit-hitechpros,True,,FR0010396309,True
ALI2S,I2S,i2S SA,Industrie,/cours/1rEPALI2S/,/ali2s-i2s,True,,FR0005854700,True
IDIP,IDI,IDI,Finance,/cours/1rPIDIP/,/idip-idi,True,True,FR0000051393,True
NK,IMERYS,Imerys S.A.,Matériaux,/cours/1rPNK/,/nk-imerys-sa,True,,FR0000120859,True
IMDA,IMMOB.DASSAULT,Immobiliere Dassault SA,Immobilier,/cours/1rPIMDA/,/imda-immob-dassault,True,,FR0000033243,True
INFE,INDLE FIN.ENTREPRISES,Compagnie Industrielle et Financière d'Entreprises SA,Industrie,/cours/1rPINFE/,/infe-indle-fin-entrepr,True,True,FR0000066219,True
INF,INFOTEL,Infotel SA,Technologies,/cours/1rPINF/,/inf-infotel,True,True,FR0000071797,True
